Ticker,Date,Open,High,Low,Close,Adjusted_close,Volume
AAPL,03/01/2022,177.83,182.88,177.71,182.01,179.9539,104487900
AAPL,04/01/2022,182.63,182.94,179.12,179.7,177.67,99310400
AAPL,05/01/2022,179.61,180.17,174.64,174.92,172.944,94537600
AAPL,06/01/2022,172.7,175.3,171.64,172,170.057,96904000
AAPL,07/01/2022,172.89,174.14,171.03,172.17,170.2251,86709100
AAPL,10/01/2022,169.08,172.5,168.17,172.19,170.2448,106765600
AAPL,11/01/2022,172.32,175.18,170.82,175.08,173.1022,76138300
AAPL,12/01/2022,176.12,177.18,174.82,175.53,173.5471,74805200
AAPL,13/01/2022,175.78,176.62,171.79,172.19,170.2448,84505800
AAPL,14/01/2022,171.34,173.78,171.09,173.07,171.1149,80440800
AAPL,18/01/2022,171.51,172.54,169.41,169.8,167.8818,90956700
AAPL,19/01/2022,170,171.08,165.94,166.23,164.3522,94815000
AAPL,20/01/2022,166.98,169.68,164.18,164.51,162.6516,91420500
AAPL,21/01/2022,164.42,166.33,162.3,162.41,160.5753,122848900
AAPL,24/01/2022,160.02,162.3,154.7,161.62,159.7942,162294600
AAPL,25/01/2022,158.98,162.76,157.02,159.78,157.975,115798400
AAPL,26/01/2022,163.5,164.39,157.82,159.69,157.886,108275300
AAPL,27/01/2022,162.45,163.84,158.28,159.22,157.4213,121954600
AAPL,28/01/2022,165.71,170.35,162.8,170.33,168.4058,179935700
AAPL,31/01/2022,170.16,175,169.51,174.78,172.8056,115541600
AAPL,01/02/2022,174.01,174.84,172.31,174.61,172.6375,86213900
AAPL,02/02/2022,174.75,175.88,173.33,175.84,173.8536,84914300
AAPL,03/02/2022,174.48,176.24,172.12,172.9,170.9468,89418100
AAPL,04/02/2022,171.68,174.1,170.68,172.39,170.6597,82465400
AAPL,07/02/2022,172.86,173.95,170.95,171.66,169.937,77251200
AAPL,08/02/2022,171.73,175.35,171.43,174.83,173.0752,74829200
AAPL,09/02/2022,176.05,176.65,174.9,176.28,174.5107,71285000
AAPL,10/02/2022,174.14,175.48,171.55,172.12,170.3924,90865900
AAPL,11/02/2022,172.33,173.08,168.04,168.64,166.9474,98670700
AAPL,14/02/2022,167.37,169.58,166.56,168.88,167.185,86185500
AAPL,15/02/2022,170.97,172.95,170.25,172.79,171.0557,62527400
AAPL,16/02/2022,171.85,173.34,170.05,172.55,170.8181,61177400
AAPL,17/02/2022,171.03,171.91,168.47,168.88,167.185,69589300
AAPL,18/02/2022,169.82,170.54,166.19,167.3,165.6208,82772700
AAPL,22/02/2022,164.98,166.69,162.15,164.32,162.6707,91162800
AAPL,23/02/2022,165.54,166.15,159.75,160.07,158.4634,90009200
AAPL,24/02/2022,152.58,162.85,152,162.74,161.1066,141147500
AAPL,25/02/2022,163.84,165.12,160.87,164.85,163.1954,91974200
AAPL,28/02/2022,163.06,165.42,162.43,165.12,163.4627,95056600
AAPL,01/03/2022,164.7,166.6,161.97,163.2,161.562,83474400
AAPL,02/03/2022,164.39,167.36,162.95,166.56,164.8882,79724800
AAPL,03/03/2022,168.47,168.91,165.55,166.23,164.5616,76678400
AAPL,04/03/2022,164.49,165.55,162.1,163.17,161.5323,83737200
AAPL,07/03/2022,163.36,165.02,159.04,159.3,157.7011,96418800
AAPL,08/03/2022,158.82,162.88,155.8,157.44,155.8598,131148300
AAPL,09/03/2022,161.48,163.41,159.41,162.95,161.3145,91454900
AAPL,10/03/2022,160.2,160.39,155.98,158.52,156.9289,105342000
AAPL,11/03/2022,158.93,159.28,154.5,154.73,153.177,96970100
AAPL,14/03/2022,151.45,154.12,150.1,150.62,149.1082,108732100
AAPL,15/03/2022,150.9,155.57,150.38,155.09,153.5334,92964300
AAPL,16/03/2022,157.05,160,154.46,159.59,157.9882,102300200
AAPL,17/03/2022,158.61,161,157.63,160.62,159.0079,75615400
AAPL,18/03/2022,160.51,164.48,159.76,163.98,162.3341,123511700
AAPL,21/03/2022,163.51,166.35,163.01,165.38,163.7201,95811400
AAPL,22/03/2022,165.51,169.42,164.91,168.82,167.1256,81532000
AAPL,23/03/2022,167.99,172.64,167.65,170.21,168.5016,98062700
AAPL,24/03/2022,171.06,174.14,170.21,174.07,172.3229,90131400
AAPL,25/03/2022,173.88,175.28,172.75,174.72,172.9663,80546200
AAPL,28/03/2022,172.17,175.73,172,175.6,173.8375,90371900
AAPL,29/03/2022,176.69,179.01,176.34,178.96,177.1638,100589400
AAPL,30/03/2022,178.55,179.61,176.7,177.77,175.9857,92633200
AAPL,31/03/2022,177.84,178.03,174.4,174.61,172.8574,103049300
AAPL,01/04/2022,174.03,174.88,171.94,174.31,172.5605,78751300
AAPL,04/04/2022,174.57,178.49,174.44,178.44,176.649,76468400
AAPL,05/04/2022,177.5,178.3,174.42,175.06,173.3029,73401800
AAPL,06/04/2022,172.36,173.63,170.13,171.83,170.1053,89058800
AAPL,07/04/2022,171.16,173.36,169.85,172.14,170.4122,77594700
AAPL,08/04/2022,171.78,171.78,169.2,170.09,168.3828,76575500
AAPL,11/04/2022,168.71,169.03,165.5,165.75,164.0864,72246700
AAPL,12/04/2022,168.02,169.87,166.64,167.66,165.9772,79265200
AAPL,13/04/2022,167.39,171.04,166.77,170.4,168.6897,70618900
AAPL,14/04/2022,170.62,171.27,165.04,165.29,163.631,75329400
